         0	 ACT	 0	 0	      0
        48	 RD	 0	 0	   0
        48	 ACT	 0	 1	      0
        96	 RD	 0	 1	   0
       104	 RD	 0	 0	   0
       112	 RD	 0	 0	   0
       120	 RD	 0	 0	   0
       128	 RD	 0	 0	   0
       136	 RD	 0	 0	   0
       144	 RD	 0	 0	   0
       152	 RD	 0	 0	   0
       152	 ACT	 1	 0	      0
       200	 RD	 1	 0	   0
       208	 RD	 1	 0	   0
       216	 RD	 1	 0	   0
       224	 RD	 1	 0	   0
       232	 RD	 1	 0	   0
       240	 RD	 1	 0	   0
       248	 RD	 1	 0	   0
       256	 RD	 1	 0	   0
       256	 ACT	 2	 0	      0
       304	 RD	 2	 0	   0
