         0	 ACT	 0	 0	      0
        48	 RD	 0	 0	   0
        48	 ACT	 0	 1	      0
        96	 RD	 0	 1	   0
        96	 ACT	 0	 2	      0
       144	 RD	 0	 2	   0
       144	 ACT	 0	 3	      0
       192	 RD	 0	 3	   0
       192	 ACT	 1	 0	      0
       240	 RD	 1	 0	   0
       240	 ACT	 1	 1	      0
       288	 RD	 1	 1	   0
       288	 ACT	 1	 2	      0
       336	 RD	 1	 2	   0
       336	 ACT	 1	 3	      0
       384	 RD	 1	 3	   0
       384	 ACT	 2	 0	      0
       432	 RD	 2	 0	   0
       432	 ACT	 2	 1	      0
       480	 RD	 2	 1	   0
       480	 ACT	 2	 2	      0
       528	 RD	 2	 2	   0
       528	 ACT	 2	 3	      0
       576	 RD	 2	 3	   0
       576	 ACT	 3	 0	      0
       624	 RD	 3	 0	   0
       624	 ACT	 3	 1	      0
       672	 RD	 3	 1	   0
       672	 ACT	 3	 2	      0
       720	 RD	 3	 2	   0
       720	 ACT	 3	 3	      0
       768	 RD	 3	 3	   0
